donanim,motor
1.8 TCT,1800
1.8 TCT,1800
2.0 200hp SUPER RWD BENZİNLİ AT,2000
2.0 280hp VELOCE AWD BENZİNLİ AT,2000
2.9 510hp QV RWD BENZİNLİ AT,2900
1.4 TB MULTIAIR SUPER BENZİNLİ TCT,1400
1.6 JTD 120hp PROGRESSION DİZEL MT,1600
1.6 JTD 120hp SUPER DİZEL MT,1600
1.6 JTDM 120hp SUPER DİZEL TCT,1600
1.6 JTDM PROGRESSION DİZEL TCT,1600
1.0 TFSI 95 hp Dynamic S tronic,1000
1.0 TFSI 95 hp Sport S tronic,1000
1.4 TFSI 125 hp Dynamic S tronic,1400
1.4 TFSI 125 hp Sport S tronic ,1400
1.6 TDI 116 hp Dynamic S tronic ,1600
1.6 TDI 116 hp Sport S tronic ,1600
1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400
1.0 TFSI 116 hp Design Line S tronic PI,1000
1.0 TFSI 116 hp Dynamic S tronic PI,1000
1.0 TFSI 116 hp Sport Line S tronic PI,1000
1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400
1.6 TDI 110 hp Design Line S tronic PI,1600
1.6 TDI 110 hp Dynamic S tronic PI,1600
1.6 TDI 110 hp Sport Line S tronic PI ,1600
1.6 TDI 116 hp Design Line S tronic PI,1600
1.6 TDI 116 hp Dynamic S tronic PI,1600
1.6 TDI 116 hp Sport Line S tronic PI,1600
1.0 TFSI 116 hp Design Line S tronic PI,1000
1.0 TFSI 116 hp Dynamic S tronic PI,1000
1.0 TFSI 116 hp Sport Line S tronic PI,1000
1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400
1.6 TDI 110 hp Design Line S tronic PI,1600
1.6 TDI 110 hp Dynamic S tronic PI,1600
1.6 TDI 110 hp Sport Line S tronic PI ,1600
1.6 TDI 116 hp Design Line S tronic PI,1600
1.6 TDI 116 hp Dynamic S tronic PI,1600
1.6 TDI 116 hp Sport Line S tronic PI,1600
1.4 TFSI 150 hp Design S tronic,1400
1.4 TFSI 150 hp Dynamic S tronic,1400
1.4 TFSI 150 hp Sport S tronic,1400
2.0 TDI 190 hp Design S tronic,2000
2.0 TDI 190 hp Dynamic S tronic,2000
2.0 TDI 190 hp quattro Design S tronic,2000
2.0 TDI 190 hp quattro Dynamic S tronic,2000
2.0 TDI 190 hp quattro Sport S tronic,2000
2.0 TDI 190 hp Sport S tronic,2000
2.0 TFSI 252 hp quattro Design S tronic,2000
2.0 TFSI 252 hp quattro Dynamic S tronic,2000
2.0 TFSI 252 hp quattro Sport S tronic,2000
2.0 TDI quattro 190 hp S tronic,2000
2.0 TFSI quattro 252 hp S tronic,2000
1.4 TFSI 150 hp Design S tronic,1400
1.4 TFSI 150 hp Dynamic S tronic,1400
1.4 TFSI 150 hp Sport S tronic,1400
2.0 TDI 190 hp Design S tronic,2000
2.0 TDI 190 hp Dynamic S tronic,2000
2.0 TDI 190 hp quattro Design S tronic,2000
2.0 TDI 190 hp quattro Dynamic S tronic,2000
2.0 TDI 190 hp quattro Sport S tronic,2000
2.0 TDI 190 hp Sport S tronic,2000
2.0 TFSI 252 hp quattro Design S tronic,2000
2.0 TFSI 252 hp quattro Dynamic S tronic,2000
2.0 TFSI 252 hp quattro Sport S tronic,2000
1.4 TFSI 150 hp Design S tronic,1400
1.4 TFSI 150 hp Dynamic S tronic,1400
1.4 TFSI 150 hp Sport S tronic,1400
2.0 TDI 190 hp Design S tronic,2000
2.0 TDI 190 hp Dynamic S tronic,2000
2.0 TDI 190 hp quattro Design S tronic,2000
2.0 TDI 190 hp quattro Dynamic S tronic,2000
2.0 TDI 190 hp quattro Sport S tronic,2000
2.0 TDI 190 hp Sport S tronic,2000
2.0 TFSI 252 hp quattro Design S tronic,2000
2.0 TFSI 252 hp quattro Dynamic S tronic,2000
2.0 TFSI 252 hp quattro Sport S tronic,2000
1.4 TFSI 150 hp Design S tronic,1400
1.4 TFSI 150 hp Dynamic S tronic,1400
1.4 TFSI 150 hp Sport S tronic,1400
2.0 TDI 190 hp  Sport S tronic,2000
2.0 TDI 190 hp Design S tronic,2000
2.0 TDI 190 hp Dynamic S tronic,2000
2.0 TDI 190 hp quattro Design S tronic,2000
2.0 TDI 190 hp quattro Dynamic S tronic,2000
2.0 TDI 190 hp quattro Sport S tronic,2000
2.0 TFSI 252 hp quattro Design S tronic,2000
2.0 TFSI 252 hp quattro Dynamic S tronic,2000
2.0 TFSI 252 hp quattro Sport S tronic,2000
