donanim,fiyat
1.8 TCT,580000
1.8 TCT,620000
2.0 200hp SUPER RWD BENZİNLİ AT,320000
2.0 280hp VELOCE AWD BENZİNLİ AT,380000
2.9 510hp QV RWD BENZİNLİ AT,780000
1.4 TB MULTIAIR SUPER BENZİNLİ TCT,121000
1.6 JTD 120hp PROGRESSION DİZEL MT,114000
1.6 JTD 120hp SUPER DİZEL MT,121000
1.6 JTDM 120hp SUPER DİZEL TCT,136000
1.6 JTDM PROGRESSION DİZEL TCT,121000
1.0 TFSI 95 hp Dynamic S tronic,110271
1.0 TFSI 95 hp Sport S tronic,112661
1.4 TFSI 125 hp Dynamic S tronic,114973
1.4 TFSI 125 hp Sport S tronic ,117406
1.6 TDI 116 hp Dynamic S tronic ,122755
1.6 TDI 116 hp Sport S tronic ,133425
1.4 TFSI 150 hp (COD) Design Line S tronic PI,189127
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,181567
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,189216
1.0 TFSI 116 hp Design Line S tronic PI,157032
1.0 TFSI 116 hp Dynamic S tronic PI,149464
1.0 TFSI 116 hp Sport Line S tronic PI,157114
1.4 TFSI 150 hp (COD) Design Line S tronic PI,171210
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,163650
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,171292
1.6 TDI 110 hp Design Line S tronic PI,176452
1.6 TDI 110 hp Dynamic S tronic PI,168892
1.6 TDI 110 hp Sport Line S tronic PI ,176542
1.6 TDI 116 hp Design Line S tronic PI,176452
1.6 TDI 116 hp Dynamic S tronic PI,168892
1.6 TDI 116 hp Sport Line S tronic PI,176542
1.0 TFSI 116 hp Design Line S tronic PI,152224
1.0 TFSI 116 hp Dynamic S tronic PI,144664
1.0 TFSI 116 hp Sport Line S tronic PI,152306
1.4 TFSI 150 hp (COD) Design Line S tronic PI,166402
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,158842
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,166491
