,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
0,Alfa Romeo,4C,1.8 TCT,1800,Benzin,Otomatik,580000.0,http://www.alfaromeo.com.tr/,,1.0
1,Alfa Romeo,4C Spider,1.8 TCT,1800,Benzin,Otomatik,620000.0,http://www.alfaromeo.com.tr/,,
2,Alfa Romeo,Giulia,2.0 200hp SUPER RWD BENZİNLİ AT,2000,Benzin,Otomatik,320000.0,http://www.alfaromeo.com.tr/,,
3,Alfa Romeo,Giulia,2.0 280hp VELOCE AWD BENZİNLİ AT,2000,Benzin,Otomatik,380000.0,http://www.alfaromeo.com.tr/,,
4,Alfa Romeo,Giulia,2.9 510hp QV RWD BENZİNLİ AT,2900,Benzin,Otomatik,780000.0,http://www.alfaromeo.com.tr/,,
5,Alfa Romeo,Giulietta,1.4 TB MULTIAIR SUPER BENZİNLİ TCT,1400,Benzin,Otomatik,121000.0,http://www.alfaromeo.com.tr/,,
6,Alfa Romeo,Giulietta,1.6 JTD 120hp PROGRESSION DİZEL MT,1600,Dizel,Düz,114000.0,http://www.alfaromeo.com.tr/,,
7,Alfa Romeo,Giulietta,1.6 JTD 120hp SUPER DİZEL MT,1600,Dizel,Düz,121000.0,http://www.alfaromeo.com.tr/,,
8,Alfa Romeo,Giulietta,1.6 JTDM 120hp SUPER DİZEL TCT,1600,Dizel,Otomatik,136000.0,http://www.alfaromeo.com.tr/,,
9,Alfa Romeo,Giulietta,1.6 JTDM PROGRESSION DİZEL TCT,1600,Dizel,Otomatik,121000.0,http://www.alfaromeo.com.tr/,,
10,Audi,A1 Sportback,1.0 TFSI 95 hp Dynamic S tronic,1000,Benzin,Otomatik,110271.0,http://www.audi.com.tr/,,
11,Audi,A1 Sportback,1.0 TFSI 95 hp Sport S tronic,1000,Benzin,Otomatik,112661.0,http://www.audi.com.tr/,,
12,Audi,A1 Sportback,1.4 TFSI 125 hp Dynamic S tronic,1400,Benzin,Otomatik,114973.0,http://www.audi.com.tr/,,
13,Audi,A1 Sportback,1.4 TFSI 125 hp Sport S tronic ,1400,Benzin,Otomatik,117406.0,http://www.audi.com.tr/,,
14,Audi,A1 Sportback,1.6 TDI 116 hp Dynamic S tronic ,1600,Dizel,Otomatik,122755.0,http://www.audi.com.tr/,,
15,Audi,A1 Sportback,1.6 TDI 116 hp Sport S tronic ,1600,Dizel,Otomatik,133425.0,http://www.audi.com.tr/,,
16,Audi,A3 Cabrio,1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400,Benzin,Otomatik,189127.0,http://www.audi.com.tr/,,
17,Audi,A3 Cabrio,1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400,Benzin,Otomatik,181567.0,http://www.audi.com.tr/,,
18,Audi,A3 Cabrio,1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400,Benzin,Otomatik,189216.0,http://www.audi.com.tr/,,
19,Audi,A3 Sedan,1.0 TFSI 116 hp Design Line S tronic PI,1000,Benzin,Otomatik,157032.0,http://www.audi.com.tr/,,
20,Audi,A3 Sedan,1.0 TFSI 116 hp Dynamic S tronic PI,1000,Benzin,Otomatik,149464.0,http://www.audi.com.tr/,,
21,Audi,A3 Sedan,1.0 TFSI 116 hp Sport Line S tronic PI,1000,Benzin,Otomatik,157114.0,http://www.audi.com.tr/,,
22,Audi,A3 Sedan,1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400,Benzin,Otomatik,171210.0,http://www.audi.com.tr/,,
23,Audi,A3 Sedan,1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400,Benzin,Otomatik,163650.0,http://www.audi.com.tr/,,
24,Audi,A3 Sedan,1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400,Benzin,Otomatik,171292.0,http://www.audi.com.tr/,,
25,Audi,A3 Sedan,1.6 TDI 110 hp Design Line S tronic PI,1600,Dizel,Otomatik,176452.0,http://www.audi.com.tr/,,
26,Audi,A3 Sedan,1.6 TDI 110 hp Dynamic S tronic PI,1600,Dizel,Otomatik,168892.0,http://www.audi.com.tr/,,
27,Audi,A3 Sedan,1.6 TDI 110 hp Sport Line S tronic PI ,1600,Dizel,Otomatik,176542.0,http://www.audi.com.tr/,,
28,Audi,A3 Sedan,1.6 TDI 116 hp Design Line S tronic PI,1600,Dizel,Otomatik,176452.0,http://www.audi.com.tr/,,
29,Audi,A3 Sedan,1.6 TDI 116 hp Dynamic S tronic PI,1600,Dizel,Otomatik,168892.0,http://www.audi.com.tr/,,
30,Audi,A3 Sedan,1.6 TDI 116 hp Sport Line S tronic PI,1600,Dizel,Otomatik,176542.0,http://www.audi.com.tr/,,
31,Audi,A3 Sportback,1.0 TFSI 116 hp Design Line S tronic PI,1000,Benzin,Otomatik,152224.0,http://www.audi.com.tr/,,
32,Audi,A3 Sportback,1.0 TFSI 116 hp Dynamic S tronic PI,1000,Benzin,Otomatik,144664.0,http://www.audi.com.tr/,,
33,Audi,A3 Sportback,1.0 TFSI 116 hp Sport Line S tronic PI,1000,Benzin,Otomatik,152306.0,http://www.audi.com.tr/,,
34,Audi,A3 Sportback,1.4 TFSI 150 hp (COD) Design Line S tronic PI,1400,Benzin,Otomatik,166402.0,http://www.audi.com.tr/,,
35,Audi,A3 Sportback,1.4 TFSI 150 hp (COD) Dynamic S tronic PI,1400,Benzin,Otomatik,158842.0,http://www.audi.com.tr/,,
36,Audi,A3 Sportback,1.4 TFSI 150 hp (COD) Sport Line S tronic PI,1400,Benzin,Otomatik,166491.0,http://www.audi.com.tr/,,
37,Audi,A3 Sportback,1.6 TDI 110 hp Design Line S tronic PI,1600,Dizel,Otomatik,171644.0,http://www.audi.com.tr/,,
38,Audi,A3 Sportback,1.6 TDI 110 hp Dynamic S tronic PI,1600,Dizel,Otomatik,164084.0,http://www.audi.com.tr/,,
39,Audi,A3 Sportback,1.6 TDI 110 hp Sport Line S tronic PI ,1600,Dizel,Otomatik,171733.0,http://www.audi.com.tr/,,
40,Audi,A3 Sportback,1.6 TDI 116 hp Design Line S tronic PI,1600,Dizel,Otomatik,171644.0,http://www.audi.com.tr/,,
41,Audi,A3 Sportback,1.6 TDI 116 hp Dynamic S tronic PI,1600,Dizel,Otomatik,164084.0,http://www.audi.com.tr/,,
42,Audi,A3 Sportback,1.6 TDI 116 hp Sport Line S tronic PI,1600,Dizel,Otomatik,171733.0,http://www.audi.com.tr/,,
